Date,Price,Before_1Days,Before_2Days,Before_3Days,Before_4Days,Before_5Days,Before_6Days,Before_7Days,Before_8Days,Before_9Days,Before_10Days,Before_11Days,Before_12Days,Before_13Days,Before_14Days,Before_15Days,Before_16Days,Before_17Days,Before_18Days,Before_19Days,Before_20Days,Before_21Days,Before_22Days,Before_23Days,Before_24Days,Before_25Days,Before_26Days,Before_27Days,Before_28Days,Before_29Days,Before_30Days
1999.10.17,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,-0.00329095,0.010123905,0.014252874,-0.019975969,0.010012136,0.010268199,-0.00805716,-0.009784736,-0.012046401,0.016477702,0.015037594,0.006641952,0.025665399,-0.005357706,-0.001416208,0.6355
1999.10.10,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,-0.00329095,0.010123905,0.014252874,-0.019975969,0.010012136,0.010268199,-0.00805716,-0.009784736,-0.012046401,0.016477702,0.015037594,0.006641952,0.025665399,-0.005357706,-0.001416208,0.007450856,0.6308
1999.10.03,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,-0.00329095,0.010123905,0.014252874,-0.019975969,0.010012136,0.010268199,-0.00805716,-0.009784736,-0.012046401,0.016477702,0.015037594,0.006641952,0.025665399,-0.005357706,-0.001416208,0.007450856,-0.008799497,0.6364
1999.09.26,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,-0.00329095,0.010123905,0.014252874,-0.019975969,0.010012136,0.010268199,-0.00805716,-0.009784736,-0.012046401,0.016477702,0.015037594,0.006641952,0.025665399,-0.005357706,-0.001416208,0.007450856,-0.008799497,0.01256961,0.6285
1999.09.19,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,-0.00329095,0.010123905,0.014252874,-0.019975969,0.010012136,0.010268199,-0.00805716,-0.009784736,-0.012046401,0.016477702,0.015037594,0.006641952,0.025665399,-0.005357706,-0.001416208,0.007450856,-0.008799497,0.01256961,0.015183331,0.6191
1999.09.12,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,-0.00329095,0.010123905,0.014252874,-0.019975969,0.010012136,0.010268199,-0.00805716,-0.009784736,-0.012046401,0.016477702,0.015037594,0.006641952,0.025665399,-0.005357706,-0.001416208,0.007450856,-0.008799497,0.01256961,0.015183331,-0.03386392,0.6408
1999.09.05,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,-0.00329095,0.010123905,0.014252874,-0.019975969,0.010012136,0.010268199,-0.00805716,-0.009784736,-0.012046401,0.016477702,0.015037594,0.006641952,0.025665399,-0.005357706,-0.001416208,0.007450856,-0.008799497,0.01256961,0.015183331,-0.03386392,-0.009582689,0.647
1999.08.29,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,-0.00329095,0.010123905,0.014252874,-0.019975969,0.010012136,0.010268199,-0.00805716,-0.009784736,-0.012046401,0.016477702,0.015037594,0.006641952,0.025665399,-0.005357706,-0.001416208,0.007450856,-0.008799497,0.01256961,0.015183331,-0.03386392,-0.009582689,-0.006449631,0.6512
1999.08.22,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,-0.00329095,0.010123905,0.014252874,-0.019975969,0.010012136,0.010268199,-0.00805716,-0.009784736,-0.012046401,0.016477702,0.015037594,0.006641952,0.025665399,-0.005357706,-0.001416208,0.007450856,-0.008799497,0.01256961,0.015183331,-0.03386392,-0.009582689,-0.006449631,0.032831086,0.6305
1999.08.15,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,-0.00329095,0.010123905,0.014252874,-0.019975969,0.010012136,0.010268199,-0.00805716,-0.009784736,-0.012046401,0.016477702,0.015037594,0.006641952,0.025665399,-0.005357706,-0.001416208,0.007450856,-0.008799497,0.01256961,0.015183331,-0.03386392,-0.009582689,-0.006449631,0.032831086,-0.003949447,0.633
