Date,Price
2001.10.21,0.5024
2001.10.14,0.5092
2001.10.07,0.5058
2001.09.30,0.5069
2001.09.23,0.4913
2001.09.16,0.4849
2001.09.09,0.515
2001.09.02,0.5195
2001.08.26,0.5294
2001.08.19,0.5346
2001.08.12,0.5357
2001.08.05,0.5129
2001.07.29,0.5168
2001.07.22,0.5087
2001.07.15,0.506
2001.07.08,0.5083
2001.07.01,0.5093
2001.06.24,0.511
2001.06.17,0.5161
2001.06.10,0.5248
2001.06.03,0.526
2001.05.27,0.5088
2001.05.20,0.5207
2001.05.13,0.5302
2001.05.06,0.522
2001.04.29,0.5195
2001.04.22,0.5098
2001.04.15,0.5152
2001.04.08,0.508
2001.04.01,0.4988
2001.03.25,0.486
2001.03.18,0.4964
2001.03.11,0.4943
2001.03.04,0.5091
2001.02.25,0.5305
2001.02.18,0.5273
2001.02.11,0.529
2001.02.04,0.5367
2001.01.28,0.5533
2001.01.21,0.5448
2001.01.14,0.5565
2001.01.07,0.5568
2000.12.31,0.5715
2000.12.24,0.559
2000.12.17,0.5567
2000.12.10,0.5457
2000.12.03,0.5484
2000.11.26,0.5377
2000.11.19,0.5237
2000.11.12,0.519
2000.11.05,0.5196
2000.10.29,0.5265
2000.10.22,0.5237
2000.10.15,0.5298
2000.10.08,0.5275
2000.10.01,0.5337
2000.09.24,0.543
2000.09.17,0.5445
2000.09.10,0.5447
2000.09.03,0.5555
2000.08.27,0.5771
2000.08.20,0.5745
2000.08.13,0.5905
2000.08.06,0.5788
2000.07.30,0.5866
2000.07.23,0.5882
2000.07.16,0.5867
2000.07.09,0.5844
2000.07.02,0.5926
2000.06.25,0.5953
2000.06.18,0.595
2000.06.11,0.6063
2000.06.04,0.5875
2000.05.28,0.5802
2000.05.21,0.575
2000.05.14,0.5742
2000.05.07,0.58
2000.04.30,0.5965
2000.04.23,0.5838
2000.04.16,0.595
2000.04.09,0.598
2000.04.02,0.599
2000.03.26,0.608
2000.03.19,0.608
2000.03.12,0.607
2000.03.05,0.6149
2000.02.27,0.6085
2000.02.20,0.6151
2000.02.13,0.6295
2000.02.06,0.632
2000.01.30,0.6387
2000.01.23,0.6351
2000.01.16,0.6626
2000.01.09,0.6662
2000.01.02,0.655
1999.12.26,0.6575
1999.12.19,0.6435
1999.12.12,0.643
1999.12.05,0.6353
1999.11.28,0.6325
1999.11.21,0.6351
1999.11.14,0.64
1999.11.07,0.6454
1999.10.31,0.6395
1999.10.24,0.6392
1999.10.17,0.6491
1999.10.10,0.6477
1999.10.03,0.6548
1999.09.26,0.6561
1999.09.19,0.6509
1999.09.12,0.6468
1999.09.05,0.6515
1999.08.29,0.6469
1999.08.22,0.6319
1999.08.15,0.636
1999.08.08,0.6525
1999.08.01,0.6534
1999.07.25,0.6517
1999.07.18,0.6485
1999.07.11,0.6608
1999.07.04,0.6663
1999.06.27,0.6685
1999.06.20,0.6618
1999.06.13,0.6525
1999.06.06,0.6658
1999.05.30,0.6592
1999.05.23,0.6525
1999.05.16,0.6578
1999.05.09,0.6643
1999.05.02,0.6724
1999.04.25,0.6615
1999.04.18,0.6517
1999.04.11,0.6474
1999.04.04,0.6312
1999.03.28,0.6346
1999.03.21,0.6355
1999.03.14,0.6308
1999.03.07,0.6364
1999.02.28,0.6285
1999.02.21,0.6191
1999.02.14,0.6408
1999.02.07,0.647
1999.01.31,0.6512
1999.01.24,0.6305
1999.01.17,0.633
1999.01.10,0.6343
1999.01.03,0.635
1998.12.27,0.6116
1998.12.20,0.6098
1998.12.13,0.6199
1998.12.06,0.621
1998.11.29,0.6172
1998.11.22,0.6336
1998.11.15,0.6428
1998.11.08,0.6369
1998.11.01,0.6358
1998.10.25,0.6236
1998.10.18,0.6188
1998.10.11,0.6346
1998.10.04,0.6145
1998.09.27,0.5962
1998.09.20,0.5862
1998.09.13,0.5873
1998.09.06,0.5985
1998.08.30,0.589
1998.08.23,0.567
1998.08.16,0.5835
1998.08.09,0.5938
1998.08.02,0.6002
1998.07.26,0.6065
1998.07.19,0.6169
1998.07.12,0.6255
1998.07.05,0.6165
1998.06.28,0.6185
1998.06.21,0.6024
1998.06.14,0.614
1998.06.07,0.5889
1998.05.31,0.6027
1998.05.24,0.6232
1998.05.17,0.6273
1998.05.10,0.6276
1998.05.03,0.6353
1998.04.26,0.6488
1998.04.19,0.6511
1998.04.12,0.6507
1998.04.05,0.6566
1998.03.29,0.6565
1998.03.22,0.6718
1998.03.15,0.6655
1998.03.08,0.677
1998.03.01,0.669
1998.02.22,0.6795
1998.02.15,0.67
1998.02.08,0.6735
1998.02.01,0.6713
1998.01.25,0.683
1998.01.18,0.6659
1998.01.11,0.666
1998.01.04,0.6445
1997.12.28,0.651
1997.12.21,0.6568
1997.12.14,0.6535
1997.12.07,0.6615
1997.11.30,0.6715
1997.11.23,0.6815
1997.11.16,0.6943
1997.11.09,0.6976
1997.11.02,0.6931
1997.10.26,0.7012
1997.10.19,0.691
1997.10.12,0.7344
1997.10.05,0.7401
1997.09.28,0.7297
1997.09.21,0.7224
1997.09.14,0.718
1997.09.07,0.7223
1997.08.31,0.7315
1997.08.24,0.7325
1997.08.17,0.749
1997.08.10,0.743
1997.08.03,0.7351
1997.07.27,0.739
1997.07.20,0.738
1997.07.13,0.7425
1997.07.06,0.7406
1997.06.29,0.7488
1997.06.22,0.7451
1997.06.15,0.7511
1997.06.08,0.7511
1997.06.01,0.762
1997.05.25,0.7604
1997.05.18,0.7666
1997.05.11,0.7766
1997.05.04,0.7786
1997.04.27,0.783
1997.04.20,0.7762
1997.04.13,0.7732
1997.04.06,0.7848
1997.03.30,0.776
1997.03.23,0.784
1997.03.16,0.787
1997.03.09,0.7985
1997.03.02,0.7866
1997.02.23,0.7791
1997.02.16,0.778
1997.02.09,0.765
1997.02.02,0.762
1997.01.26,0.7623
1997.01.19,0.773
1997.01.12,0.781
1997.01.05,0.782
1996.12.29,0.7906
1996.12.22,0.7955
1996.12.15,0.7956
1996.12.08,0.792
1996.12.01,0.798
1996.11.24,0.8166
1996.11.17,0.8146
1996.11.10,0.7906
1996.11.03,0.7879
1996.10.27,0.789
1996.10.20,0.7905
1996.10.13,0.7957
1996.10.06,0.7906
1996.09.29,0.789
1996.09.22,0.7902
1996.09.15,0.7921
1996.09.08,0.7912
1996.09.01,0.8
1996.08.25,0.7902
1996.08.18,0.7917
1996.08.11,0.7832
1996.08.04,0.7798
1996.07.28,0.7739
1996.07.21,0.7868
1996.07.14,0.7918
1996.07.07,0.7976
1996.06.30,0.7956
1996.06.23,0.7871
1996.06.16,0.7895
1996.06.09,0.7932
1996.06.02,0.7926
1996.05.26,0.7989
1996.05.19,0.7912
1996.05.12,0.801
1996.05.05,0.802
1996.04.28,0.7974
1996.04.21,0.7905
1996.04.14,0.786
1996.04.07,0.7917
1996.03.31,0.7845
1996.03.24,0.783
1996.03.17,0.7769
1996.03.10,0.7733
1996.03.03,0.7689
1996.02.25,0.7616
1996.02.18,0.7575
