Date,Time,Open,Highest,Lowest,Adjust,Volume,Rate_high,Rate_low
2012.03.11,0:00,1.05645,1.05956,1.04214,1.05882,334853,0.002943821,-0.013545364
2012.03.18,0:00,1.0591,1.06352,1.03347,1.0466,342726,0.004173355,-0.024199792
2012.03.25,0:00,1.04651,1.05557,1.0303,1.03342,338380,0.008657347,-0.01548958
2012.04.01,0:00,1.0449,1.04637,1.02418,1.03024,310442,0.001406833,-0.019829649
2012.04.08,0:00,1.0296,1.04503,1.02243,1.03709,300559,0.014986402,-0.006963869
2012.04.15,0:00,1.03712,1.04162,1.03029,1.03781,304942,0.004338939,-0.006585545
2012.04.22,0:00,1.03673,1.04723,1.02455,1.04701,278286,0.010127999,-0.011748478
2012.04.29,0:00,1.04585,1.04678,1.01684,1.01784,206468,0.000889229,-0.027738203
2012.05.06,0:00,1.01525,1.02181,1.00164,1.00176,291784,0.006461463,-0.013405565
2012.05.13,0:00,1.0012,1.00328,0.97934,0.98409,319480,0.002077507,-0.021833799
2012.05.20,0:00,0.98365,0.99329,0.9688,0.97563,339269,0.009800234,-0.015096833
2012.05.27,0:00,0.98145,0.98957,0.95813,0.96952,347139,0.008273473,-0.023760762
2012.06.03,0:00,0.96985,1.00007,0.96261,0.99147,380487,0.031159458,-0.007465072
2012.06.10,0:00,0.9985,1.00875,0.98488,1.00714,361809,0.010265398,-0.013640461
2012.06.17,0:00,1.0114,1.02222,1.00066,1.00623,363951,0.010698042,-0.010618944
2012.06.24,0:00,1.00445,1.02562,0.99671,1.02409,327010,0.021076211,-0.00770571
2012.07.01,0:00,1.0263,1.03272,1.01779,1.02104,278772,0.006255481,-0.008291922
2012.07.08,0:00,1.01967,1.02793,1.00985,1.02247,279393,0.00810066,-0.009630567
2012.07.15,0:00,1.02475,1.04421,1.02004,1.03759,268919,0.018989998,-0.004596243
2012.07.22,0:00,1.03565,1.0485,1.01751,1.04822,350231,0.012407667,-0.01751557
2012.07.29,0:00,1.04733,1.05783,1.04343,1.05666,309693,0.010025493,-0.003723755
2012.08.05,0:00,1.05701,1.06113,1.04955,1.05748,247164,0.003897787,-0.007057644
2012.08.12,0:00,1.05536,1.05718,1.04091,1.04173,215327,0.00172453,-0.01369201
2012.08.19,0:00,1.04321,1.05431,1.03738,1.04025,233990,0.010640235,-0.00558852
